StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,1,0,2,19.833722807854713,7,1,2,0,0,1,0,2.929195591667681,2
1002,18,0,0,1,15.40875605584674,0,0,1,0,0,0,0,3.042914833436377,1
1003,15,0,2,3,4.210569769,26,0,2,0,0,0,0,0.1126022544661815,4
1004,17,1,0,3,10.028829473958215,14,0,3,1,0,0,0,2.0542181397029484,3
1005,17,1,0,2,4.6724952729713305,17,1,3,0,0,0,0,1.2880611817953875,4
1006,18,0,0,1,8.191218545250186,0,0,1,1,0,0,0,3.0841836144863937,1
1007,15,0,1,1,15.601680474699295,10,0,3,0,1,0,0,2.748237414891583,2
1008,15,1,1,4,15.424496305808074,22,1,1,1,0,0,0,1.360142712316461,4
1009,17,0,0,0,4.562007558047703,1,0,2,0,1,0,1,2.896819189513569,2
1010,16,1,0,1,18.444466363097202,0,0,3,1,0,0,0,3.5734742103297656,0
1011,17,0,0,1,11.851363655296536,11,0,1,0,0,0,0,2.1471716250185144,3
1012,17,0,0,1,7.598485819,15,0,2,0,0,0,1,1.5595945190402773,4
1013,17,0,1,1,10.038711615617213,21,0,3,1,0,0,0,1.520077814874808,4
1014,17,0,1,2,12.101425068754875,21,0,4,0,1,0,0,1.7515809583340785,4
1015,18,1,0,1,11.197810636915708,9,1,2,0,0,0,0,2.396788117124796,3
1016,15,0,0,2,9.728100710723563,17,1,0,0,1,0,0,1.3415207165346672,4
1017,18,0,3,1,10.098656081788002,14,0,2,1,1,0,0,2.2321752777159762,3
1018,18,1,0,0,3.5282382085577235,16,1,2,0,0,0,0,1.3844041756940335,4
1019,18,0,1,3,16.25465808609359,29,0,2,1,0,0,1,0.4695533233798704,4
1020,17,0,0,1,10.835206398820308,9,0,2,0,0,1,0,2.3957840945306996,3
1021,16,1,0,3,2.621597234094062,2,0,3,0,0,0,1,2.778411299920653,2
1022,15,0,0,2,15.323142031655559,25,0,1,1,0,0,0,0.34689403670501484,4
1023,16,1,1,0,18.648879567547016,29,1,1,0,0,0,0,0.3125462305253549,4
1024,18,1,3,4,18.94613798473924,20,0,2,1,0,0,0,1.7701318767799732,4
1025,18,1,0,1,7.380354648223455,15,0,2,0,0,0,0,1.5051556220362858,4
1026,16,1,0,3,2.7103374712150807,5,0,4,0,0,1,0,2.977851918315743,2
1027,16,0,0,1,10.367992532661303,2,0,2,0,1,0,0,2.948717671911921,2
1028,16,1,0,3,2.2521845869844137,8,0,3,0,0,1,0,2.1452047204671914,3
1029,18,0,0,0,18.679748370252344,10,0,3,1,0,0,0,2.854803928981318,2
1030,18,0,0,2,3.671592547,20,0,3,1,0,0,0,1.519441725815139,4
1031,15,0,2,2,5.055317199023282,12,1,0,0,1,0,0,1.727120309522409,4
1032,15,0,0,3,8.132730537699409,17,0,4,0,0,0,1,1.8475354711387906,4
1033,18,0,0,3,7.663289371182516,25,0,1,0,1,0,0,0.38461697285648777,4
1034,16,0,3,3,15.89325784795778,21,0,0,1,1,0,0,0.949406098,4
1035,16,0,0,3,9.126336411019247,27,1,2,1,1,0,0,1.1409594184203395,4
1036,15,0,3,1,3.415365200066738,23,0,1,0,0,0,0,0.2614722600507521,4
1037,18,0,0,1,5.344197909721482,26,1,1,0,0,0,0,0.21828485682103177,4
1038,15,0,2,1,10.18226770375044,21,1,1,0,1,0,0,1.0677635510419796,4
1039,15,1,1,1,2.949078348522698,3,1,1,1,1,0,0,3.0189058584279675,1
1040,17,1,2,1,12.233113512920282,21,1,3,1,1,0,0,1.5268678317927231,4
1041,17,1,3,2,11.314946131022918,23,1,1,0,0,0,0,1.0582873996898603,4
1042,17,0,0,1,14.294046327645153,7,0,2,0,0,0,0,2.625128097732231,2
1043,16,1,3,2,18.754092307587353,12,1,4,0,0,0,0,2.8087548220286536,2
1044,18,1,0,1,18.245091222023113,9,0,2,0,1,0,0,2.8888916692724433,2
1045,18,1,0,1,18.921512361376628,1,1,3,1,1,0,0,4,0
1046,18,0,0,2,4.894311940474019,7,0,4,0,0,1,0,2.515300272256249,2
1047,18,0,1,2,2.6313061327870924,5,0,1,1,0,0,0,2.5637654300150947,2
1048,17,0,0,2,6.04553401,15,0,2,0,0,0,0,1.7036118032323682,4
1049,16,0,1,2,17.90170345532629,17,0,3,0,0,1,0,2.0998851567205854,3
1050,16,1,1,1,19.441069492469765,16,0,4,1,0,0,0,2.4610469629080955,3
1051,17,1,2,2,17.18649902140952,5,0,3,0,0,0,0,2.935477191694632,2
1052,16,1,2,0,2.200354422550872,12,1,1,1,0,1,0,1.9863780592187463,4
1053,17,1,0,1,18.948559961195862,22,0,4,0,0,1,0,1.5715441913992825,4
1054,18,0,0,2,8.467160547,13,0,1,0,1,0,0,1.6643106896610833,4
1055,17,0,0,0,0.18620581524707358,29,1,2,1,1,0,0,0.7562591665741925,4
1056,18,0,0,1,8.847874814963872,25,0,2,0,1,0,0,0.8027695392342074,4
1057,18,1,0,4,0.9213833935093518,20,0,2,0,1,1,0,1.3423871779577345,4
1058,15,0,0,4,10.87755842322235,29,0,3,1,0,0,0,0.2865712882866222,4
1059,17,0,0,1,6.771080548741026,9,1,3,0,1,0,0,2.613838694,2
1060,15,1,3,0,9.468698671880976,23,0,3,0,1,0,0,0.9290125546259369,4
1061,17,1,1,1,12.26340721486234,10,0,0,1,0,1,0,1.8927586959265916,4
1062,17,0,0,1,17.376021916356407,12,0,2,0,0,1,0,2.331261549308754,3
1063,15,0,1,3,13.238031529438572,11,0,3,0,1,0,0,2.234238472600233,3
1064,15,0,0,1,8.680977369563614,8,0,2,0,1,0,0,2.3858282190764624,3
1065,17,0,0,2,16.388557073407302,3,1,4,0,0,0,0,3.3473567435078095,1
1066,16,0,1,1,18.111642751462643,6,1,3,1,0,0,0,3.2618553073332905,1
1067,18,0,0,4,2.3951993286439444,23,0,3,0,1,0,0,1.0396238791477144,4
1068,15,1,0,1,10.638659551055829,28,0,0,0,1,0,0,0.027818624732467906,4
1069,18,1,3,2,5.690239194848883,21,1,3,0,0,1,0,1.3299645378768772,4
1070,16,1,2,1,0.941223958,1,0,4,0,0,1,0,3.2839165218973836,1
1071,16,0,1,2,13.370933902279706,6,0,2,1,0,0,0,2.937454182316864,2
1072,16,1,1,1,17.255415549184512,28,0,3,0,0,1,1,0.7388682028052602,4
1073,15,0,1,1,3.258053089547881,8,0,2,1,1,0,0,2.556801662833417,2
1074,16,0,0,3,16.24827315247801,4,1,2,0,0,0,0,3.300928568970799,1
1075,15,1,0,3,17.067914670738833,14,0,3,1,0,1,0,2.200682946560561,3
1076,16,0,0,3,18.28680885332967,17,0,3,0,1,0,0,1.8558655731681934,4
1077,18,0,0,2,5.305701781721048,3,0,3,0,0,0,0,2.7344014944199917,2
1078,18,1,1,3,18.079061303797786,18,1,1,1,1,0,0,2.1317372971872284,3
1079,17,1,0,0,6.413255094728645,19,0,1,0,0,0,0,0.9797699107752862,4
1080,18,1,3,1,11.046760269110056,25,0,3,0,1,0,0,0.994325024,4
1081,17,0,3,1,1.0101494166456426,6,0,1,0,1,0,0,2.0746999767813343,3
1082,18,1,2,2,0.8776217673748721,25,0,2,0,0,0,0,0.500508036,4
1083,15,1,1,1,14.407464254644058,7,0,0,1,1,0,0,2.532438417587673,2
1084,18,0,2,1,8.88959956,16,0,1,0,1,0,0,1.4633780357856976,4
1085,17,1,0,2,5.125847507384352,12,0,3,1,1,0,0,2.342836773191855,3
1086,17,1,2,3,3.808269920498204,23,0,3,0,0,0,0,1.1588463344506035,4
1087,16,1,0,1,13.399069817184362,20,1,1,1,0,1,1,1.5237487447337323,4
1088,15,0,2,1,0.008030881,27,0,1,0,0,1,0,0,4
1089,18,0,0,1,16.117823383937086,22,0,0,1,0,1,0,1.0586220144439875,4
1090,16,0,2,1,1.5849921225985764,10,0,2,0,0,1,1,2.2297401841747666,3
1091,18,0,3,1,3.829792298162389,26,0,1,0,0,0,1,0.19474328074551517,4
1092,18,1,0,2,7.724727905981792,0,0,2,1,1,0,0,3.5069200713692137,0
1093,16,0,0,2,9.697174794322072,1,1,3,0,0,0,0,3.552286943350944,0
1094,16,0,3,2,7.099902316278836,16,1,3,0,1,0,0,2.238491354,3
1095,16,1,0,1,6.414243299685878,4,0,1,1,1,0,0,2.7084723438568763,2
1096,16,1,2,3,19.278320241463767,29,0,3,0,0,0,1,0.7329082339013866,4
1097,16,1,1,1,12.831593624867885,29,0,4,0,0,1,0,0.9654824453045303,4
1098,18,0,0,2,0.46865910734776417,5,0,2,0,1,0,0,2.5552328599380942,2
1099,16,0,0,3,8.603518168886264,25,0,2,1,0,1,1,0.7443222999212357,4
1100,15,0,0,1,17.500173994879404,24,0,2,0,0,0,0,0.7220565813951911,4
1101,17,1,2,1,6.029123728213359,23,1,1,1,1,0,1,1.2712295298373406,4
1102,16,1,0,3,1.8911268954877647,6,0,3,1,0,1,1,2.526142141,2
1103,16,0,1,1,15.167695431798355,27,0,3,1,1,0,0,0.9424153953595232,4
1104,18,1,0,2,12.120276638721625,20,1,2,0,1,0,0,1.515639098395023,4
1105,16,1,1,0,11.406250156530078,29,0,3,1,0,0,0,0.6482739267081915,4
1106,16,1,2,2,1.0715311921481585,14,0,3,0,1,1,1,2.0488500821388604,3
1107,16,0,3,1,2.8099801959103465,18,0,0,1,0,0,1,0.8422959992571388,4
1108,18,1,0,0,12.450987924262275,15,0,1,0,1,0,0,1.4641879236906472,4
